Source,All isolates,tssD positive,Percentage presence,Kind
Pig NL,10,5,50%,non-bird
Wild birds NL,48,23,48%,bird
Chicken/Turkey NL,223,81,36%,bird
Duck UK,65,22,34%,bird
Chicken UK,2525,695,28%,bird
Wild bird UK,36,10,28%,bird
Pet NL,95,25,26%,non-bird
Water NL,76,20,26%,non-bird
Human NL,272,63,23%,non-bird
Turkey UK,103,20,19%,bird
Veal calves NL,39,4,10%,non-bird
Layer NL,55,5,9%,bird
Cattle UK,364,29,8%,non-bird
Cattle NL,157,8,5%,non-bird
Lamb UK,135,6,4%,non-bird
Beef UK,100,3,3%,non-bird
Sheep/Goat NL,85,2,2%,non-bird
Sheep UK,290,5,2%,non-bird
